,id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
0,2017-42,2017-01-05,1,Vente,128000.0,6.0,,RUE DES BLANCHISSERIES,501,1000.0,1053,Bourg-en-Bresse,1,,,01053000AC0434,,,,,,,,,,,,,0,,,,,S,sols,,,201.0,5.224638,46.212018
1,2017-81,2017-01-17,1,Vente,4600.0,,,EN ROSSET,B105,1250.0,1317,Ramasse,1,,,013170000C0725,,,,,,,,,,,,,0,,,,,T,terres,,,2920.0,5.366636,46.188322
2,2017-127,2017-01-19,1,Vente,207000.0,,,LE GUIDON,B139,1440.0,1451,Viriat,1,,,014510000H1913,,,,,,,,,,,,,0,,,,,P,prés,,,16.0,5.198219,46.234368
3,2017-172,2017-01-26,1,Vente,127000.0,5022.0,,LE BOURG,B012,1190.0,1102,Chevroux,1,,,011020000D0831,,,1,,,,,,,,,,1,2.0,Appartement,91.0,5.0,,,,,,4.948378,46.380907
4,2017-206,2017-02-01,1,Vente,150455.0,22.0,,AV ALPHONSE BAUDIN,170,1000.0,1053,Bourg-en-Bresse,1,,,01053000AM0021,,,119,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,5.217039,46.200756
5,2017-245,2017-02-03,1,Vente,149000.0,,,LES BURELLES,B018,1290.0,1134,Crottet,1,,,011340000C2572,,,,,,,,,,,,,0,,,,,AG,terrains d'agrément,,,514.0,,
6,2017-276,2017-02-09,1,Vente,85050.0,,,CHAMP DE LA FAY,B006,1340.0,1387,Saint-Sulpice,1,,,013870000A0577,,,,,,,,,,,,,0,,,,,P,prés,,,14870.0,5.036258,46.324637
7,2017-326,2017-01-31,1,Vente,85000.0,25.0,,RUE MAL JOFFRE,2530,1000.0,1053,Bourg-en-Bresse,1,,,01053000AD0672,,,29,,31.0,,,,,,,,2,2.0,Appartement,41.0,2.0,,,,,,5.226747,46.205381
8,2017-366,2017-02-09,1,Vente,95000.0,,,EN LAGNAT,B041,1290.0,1136,Cruzilles-lès-Mépillat,1,,,01136000ZA0253,,,,,,,,,,,,,0,,,,,T,terres,,,1918.0,4.865522,46.223377
9,2017-416,2017-02-20,1,Vente,108000.0,,,SUR GRANDES BELLES VAVRES,B242,1340.0,1163,Foissiat,1,,,01163000WD0031,,,,,,,,,,,,,0,,,,,P,prés,,,3030.0,5.208741,46.3935
10,2017-435,2017-02-21,2,Vente,,,,LA PRAIRIE,B186,1190.0,1094,Chavannes-sur-Reyssouze,1,,,01094000ZB0089,,,,,,,,,,,,,0,,,,,P,prés,,,3340.0,5.000921,46.422677
11,2017-479,2017-02-24,2,Vente,5250.0,,,LA CROIX,B029,1380.0,1343,Saint-Cyr-sur-Menthon,1,,,01343000ZM0660,,,,,,,,,,,,,0,,,,,P,prés,,,616.0,4.969971,46.272991
